Geometry Dash 2.2 beta ARMv7 native import manifest
imports=396 objects=5

RUNTIME ORDER (the SVC/import trampoline mapping actually used by Dynarmic)
INDEX	SVC	STUB	GROUP	NAME
114	115	0x21000390	LIBC	pthread_join
115	116	0x21000398	LIBC	strcpy
116	117	0x210003a0	LIBC	strstr
117	118	0x210003a8	GL	glGetString
118	119	0x210003b0	GL	glGetIntegerv
119	120	0x210003b8	LIBC	exit
120	121	0x210003c0	LIBC	acosf
121	122	0x210003c8	LIBC	asinf
122	123	0x210003d0	LIBC	__isnanf
123	124	0x210003d8	LIBC	logf
124	125	0x210003e0	LIBC	expf
125	126	0x210003e8	LIBC	fmodf
126	127	0x210003f0	LIBC	vsnprintf
127	128	0x210003f8	LIBC	sprintf
128	129	0x21000400	GL	glClearDepthf
129	130	0x21000408	GL	glDepthFunc
130	131	0x21000410	GL	glClearColor
131	132	0x21000418	GL	glClear
132	133	0x21000420	GL	glDeleteBuffers
133	134	0x21000428	GL	glGenBuffers
134	135	0x21000430	GL	glBindBuffer
135	136	0x21000438	GL	glBufferData
136	137	0x21000440	GL	glEnableVertexAttribArray
137	138	0x21000448	GL	glDeleteFramebuffers
138	139	0x21000450	GL	glGenFramebuffers
139	140	0x21000458	GL	glBindFramebuffer
140	141	0x21000460	GL	glFramebufferTexture2D
141	142	0x21000468	GL	glCheckFramebufferStatus
142	143	0x21000470	GL	glGetFloatv
143	144	0x21000478	GL	glDrawElements
144	145	0x21000480	GL	glViewport
145	146	0x21000488	LIBC	sscanf
146	147	0x21000490	LIBC	snprintf
147	148	0x21000498	GL	glIsEnabled
148	149	0x210004a0	GL	glStencilMask
149	150	0x210004a8	GL	glGetBooleanv
150	151	0x210004b0	GL	glDepthMask
151	152	0x210004b8	GL	glStencilFunc
152	153	0x210004c0	GL	glStencilOp
153	154	0x210004c8	GL	glDeleteRenderbuffers
154	155	0x210004d0	GL	glGenRenderbuffers
155	156	0x210004d8	GL	glBindRenderbuffer
156	157	0x210004e0	GL	glRenderbufferStorage
157	158	0x210004e8	GL	glFramebufferRenderbuffer
158	159	0x210004f0	GL	glClearStencil
159	160	0x210004f8	GL	glPixelStorei
160	161	0x21000500	GL	glReadPixels
161	162	0x21000508	GL	glBufferSubData
162	163	0x21000510	LIBC	fseek
163	164	0x21000518	LIBC	ftell
164	165	0x21000520	GL	glScissor
165	166	0x21000528	LIBC	strncpy
166	167	0x21000530	LIBC	__android_log_print
167	168	0x21000538	LIBC	setjmp
168	169	0x21000540	LIBC	pthread_key_create
169	170	0x21000548	LIBC	pthread_getspecific
170	171	0x21000550	LIBC	pthread_setspecific
171	172	0x21000558	GL	glCreateShader
172	173	0x21000560	GL	glShaderSource
173	174	0x21000568	GL	glCompileShader
174	175	0x21000570	GL	glGetShaderSource
175	176	0x21000578	LIBC	abort
176	177	0x21000580	GL	glCreateProgram
177	178	0x21000588	GL	glAttachShader
178	179	0x21000590	GL	glBindAttribLocation
179	180	0x21000598	GL	glLinkProgram
180	181	0x210005a0	GL	glDeleteShader
181	182	0x210005a8	GL	glUniform2i
182	183	0x210005b0	GL	glUniform3i
183	184	0x210005b8	GL	glUniform4i
184	185	0x210005c0	GL	glUniform2iv
185	186	0x210005c8	GL	glUniform3iv
186	187	0x210005d0	GL	glUniform4iv
187	188	0x210005d8	GL	glUniform1f
188	189	0x210005e0	GL	glUniform2f
189	190	0x210005e8	GL	glUniform3f
190	191	0x210005f0	GL	glUniform4f
191	192	0x210005f8	GL	glUniform2fv
192	193	0x21000600	GL	glUniform3fv
193	194	0x21000608	GL	glUniformMatrix3fv
194	195	0x21000610	GL	glUniform4fv
195	196	0x21000618	GL	glUniformMatrix4fv
196	197	0x21000620	GL	glDeleteProgram
197	198	0x21000628	GL	glUseProgram
198	199	0x21000630	GL	glBlendFunc
199	200	0x21000638	GL	glBlendEquation
200	201	0x21000640	GL	glBindTexture
201	202	0x21000648	GL	glDeleteTextures
202	203	0x21000650	GL	glDisableVertexAttribArray
203	204	0x21000658	LIBC	fputs
204	205	0x21000660	LIBC	strncmp
205	206	0x21000668	LIBC	isalnum
206	207	0x21000670	LIBC	strchr
207	208	0x21000678	LIBC	isalpha
208	209	0x21000680	LIBC	vfprintf
209	210	0x21000688	LIBC	ferror
210	211	0x21000690	GL	glGenerateMipmap
211	212	0x21000698	GL	glTexParameteri
212	213	0x210006a0	GL	glGenTextures
213	214	0x210006a8	GL	glTexImage2D
214	215	0x210006b0	GL	glCompressedTexImage2D
215	216	0x210006b8	GL	glGetError
216	217	0x210006c0	LIBC	bsearch
217	218	0x210006c8	LIBC	fgets
218	219	0x210006d0	LIBC	strcasecmp
219	220	0x210006d8	LIBC	rename
220	221	0x210006e0	LIBC	strtol
221	222	0x210006e8	LIBC	strtod
222	223	0x210006f0	LIBC	strtoul
223	224	0x210006f8	LIBC	__fpclassifyd
224	225	0x21000700	LIBC	fmod
225	226	0x21000708	LIBC	ceil
226	227	0x21000710	LIBC	strerror_r
227	228	0x21000718	LIBC	wcslen
228	229	0x21000720	LIBC	swprintf
229	230	0x21000728	LIBC	close
230	231	0x21000730	LIBC	fstat
231	232	0x21000738	LIBC	strtoll
232	233	0x21000740	LIBC	read
233	234	0x21000748	LIBC	open
234	235	0x21000750	LIBC	write
235	236	0x21000758	LIBC	lseek
236	237	0x21000760	LIBC	memchr
237	238	0x21000768	LIBC	siglongjmp
238	239	0x21000770	LIBC	sigsetjmp
239	240	0x21000778	LIBC	sigaction
240	241	0x21000780	LIBC	alarm
241	242	0x21000788	LIBC	inet_ntop
242	243	0x21000790	LIBC	fflush
243	244	0x21000798	LIBC	stat
244	245	0x210007a0	LIBC	basename
245	246	0x210007a8	LIBC	strtok_r
246	247	0x210007b0	LIBC	memrchr
247	248	0x210007b8	LIBC	inet_pton
248	249	0x210007c0	LIBC	strrchr
249	250	0x210007c8	LIBC	send
250	251	0x210007d0	LIBC	recv
251	252	0x210007d8	LIBC	getsockname
252	253	0x210007e0	LIBC	bind
253	254	0x210007e8	LIBC	listen
254	255	0x210007f0	LIBC	accept
255	256	0x210007f8	LIBC	strpbrk
256	257	0x21000800	LIBC	if_nametoindex
257	258	0x21000808	LIBC	strerror
258	259	0x21000810	LIBC	socket
259	260	0x21000818	LIBC	ioctl
260	261	0x21000820	LIBC	getenv
261	262	0x21000828	LIBC	fputc
262	263	0x21000830	LIBC	geteuid
263	264	0x21000838	LIBC	getpwuid
264	265	0x21000840	LIBC	setsockopt
265	266	0x21000848	LIBC	connect
266	267	0x21000850	LIBC	getpeername
267	268	0x21000858	LIBC	getsockopt
268	269	0x21000860	LIBC	gmtime_r
269	270	0x21000868	LIBC	poll
270	271	0x21000870	LIBC	sendto
271	272	0x21000878	LIBC	recvfrom
272	273	0x21000880	LIBC	getaddrinfo
273	274	0x21000888	LIBC	freeaddrinfo
274	275	0x21000890	LIBC	fcntl
275	276	0x21000898	LIBC	gethostname
276	277	0x210008a0	LIBC	waitpid
277	278	0x210008a8	LIBC	kill
278	279	0x210008b0	LIBC	access
279	280	0x210008b8	LIBC	socketpair
280	281	0x210008c0	LIBC	fork
281	282	0x210008c8	LIBC	dup2
282	283	0x210008d0	LIBC	execl
283	284	0x210008d8	LIBC	getpid
284	285	0x210008e0	LIBC	fprintf
285	286	0x210008e8	LIBC	getnameinfo
286	287	0x210008f0	LIBC	shutdown
287	288	0x210008f8	LIBC	gai_strerror
288	289	0x21000900	LIBC	initgroups
289	290	0x21000908	LIBC	setuid
290	291	0x21000910	LIBC	setgid
291	292	0x21000918	LIBC	bsd_signal
292	293	0x21000920	LIBC	sigprocmask
293	294	0x21000928	LIBC	pipe
294	295	0x21000930	LIBC	syslog
295	296	0x21000938	LIBC	frexp
296	297	0x21000940	LIBC	modf
297	298	0x21000948	LIBC	pow
298	299	0x21000950	LIBC	gmtime
299	300	0x21000958	LIBC	__assert2
300	301	0x21000960	LIBC	lrand48
301	302	0x21000968	LIBC	exp
302	303	0x21000970	LIBC	log
303	304	0x21000978	LIBC	isprint
304	305	0x21000980	LIBC	mmap
305	306	0x21000988	LIBC	munmap
306	307	0x21000990	LIBC	log10
307	308	0x21000998	LIBC	dlerror
308	309	0x210009a0	LIBC	dlopen
309	310	0x210009a8	LIBC	dlsym
310	311	0x210009b0	LIBC	dlclose
311	312	0x210009b8	LIBC	memmem
312	313	0x210009c0	LIBC	pthread_once
313	314	0x210009c8	LIBC	pthread_key_delete
314	315	0x210009d0	LIBC	syscall
315	316	0x210009d8	LIBC	wmemchr
316	317	0x210009e0	LIBC	wmemcpy
317	318	0x210009e8	LIBC	setlocale
318	319	0x210009f0	LIBC	vsprintf
319	320	0x210009f8	LIBC	getc
320	321	0x21000a00	LIBC	ungetc
321	322	0x21000a08	LIBC	getwc
322	323	0x21000a10	LIBC	ungetwc
323	324	0x21000a18	LIBC	putwc
324	325	0x21000a20	LIBC	putc
325	326	0x21000a28	LIBC	strftime
326	327	0x21000a30	LIBC	wcsftime
327	328	0x21000a38	LIBC	wmemset
328	329	0x21000a40	LIBC	wmemmove
329	330	0x21000a48	LIBC	wmemcmp
330	331	0x21000a50	LIBC	fdopen
331	332	0x21000a58	LIBC	setvbuf
332	333	0x21000a60	LIBC	writev
333	334	0x21000a68	LIBC	wcrtomb
334	335	0x21000a70	LIBC	mbrtowc
335	336	0x21000a78	LIBC	strcoll
336	337	0x21000a80	LIBC	strxfrm
337	338	0x21000a88	LIBC	wcscoll
338	339	0x21000a90	LIBC	wcsxfrm
339	340	0x21000a98	LIBC	wctype
340	341	0x21000aa0	LIBC	towupper
341	342	0x21000aa8	LIBC	towlower
342	343	0x21000ab0	LIBC	iswctype
343	344	0x21000ab8	LIBC	wctob
344	345	0x21000ac0	LIBC	btowc
345	346	0x21000ac8	LIBC	strncasecmp
346	347	0x21000ad0	LIBC	sched_yield
347	348	0x21000ad8	LIBC	gethostbyname
348	349	0x21000ae0	LIBC	strcat
349	350	0x21000ae8	LIBC	sysconf
350	351	0x21000af0	LIBC	mprotect
351	352	0x21000af8	LIBC	mlock
352	353	0x21000b00	LIBC	readdir
353	354	0x21000b08	LIBC	opendir
354	355	0x21000b10	LIBC	closedir
355	356	0x21000b18	LIBC	strspn
356	357	0x21000b20	LIBC	strcspn
357	358	0x21000b28	LIBC	setbuf
358	359	0x21000b30	LIBC	chmod
359	360	0x21000b38	LIBC	pthread_rwlock_init
360	361	0x21000b40	LIBC	pthread_rwlock_rdlock
361	362	0x21000b48	LIBC	pthread_rwlock_wrlock
362	363	0x21000b50	LIBC	pthread_rwlock_unlock
363	364	0x21000b58	LIBC	pthread_rwlock_destroy
364	365	0x21000b60	LIBC	pthread_self
365	366	0x21000b68	LIBC	pthread_equal
366	367	0x21000b70	LIBC	getuid
367	368	0x21000b78	LIBC	getgid
368	369	0x21000b80	LIBC	getegid
369	370	0x21000b88	LIBC	raise
370	371	0x21000b90	LIBC	__aeabi_memmove4
371	372	0x21000b98	LIBC	_ZN11HookManager7do_hookEPvS0_S0_b
372	373	0x21000ba0	LIBC	srand48
373	374	0x21000ba8	LIBC	__aeabi_memmove
374	375	0x21000bb0	LIBC	__aeabi_memcpy
375	376	0x21000bb8	LIBC	__aeabi_memclr
376	377	0x21000bc0	LIBC	__aeabi_memset
377	378	0x21000bc8	LIBC	system
378	379	0x21000bd0	LIBC	__aeabi_memcpy8
379	380	0x21000bd8	LIBC	__aeabi_memclr8
380	381	0x21000be0	LIBC	__aeabi_memclr4
381	382	0x21000be8	LIBC	isxdigit
382	383	0x21000bf0	LIBC	fileno
383	384	0x21000bf8	LIBC	dup
384	385	0x21000c00	LIBC	__dynarmic_ccfileutils_getFileDataFromZip
385	386	0x21000c08	LIBC	__dynarmic_ccapplication_openURL
386	387	0x21000c10	LIBC	__dynarmic_v22_native_http_send
387	388	0x21000c18	LIBC	__dynarmic_ziputils_ccInflateMemory
388	389	0x21000c20	LIBC	__dynarmic_v22_creator_editor_unlock
389	390	0x21000c28	LIBC	__dynarmic_v22_prepare_level_setup
390	391	0x21000c30	LIBC	__dynarmic_v22_level_settings_from_string
391	392	0x21000c38	LIBC	__dynarmic_v22_editor_visibility
392	393	0x21000c40	LIBC	__dynarmic_v22_play_visibility
